ID,Spot,Strike,Rate,Volatility,Time,Type
OPT0001,100.00,105.00,0.0500,0.2000,0.2500,call
OPT0002,100.00,95.00,0.0500,0.2000,0.2500,put
OPT0003,100.00,110.00,0.0500,0.2500,0.5000,call
OPT0004,100.00,90.00,0.0500,0.2500,0.5000,put
OPT0005,100.00,100.00,0.0500,0.1500,0.0833,call
OPT0006,100.00,100.00,0.0500,0.1500,0.0833,put
OPT0007,150.00,160.00,0.0300,0.2500,0.7500,call
OPT0008,150.00,140.00,0.0300,0.2500,0.7500,put
OPT0009,75.00,80.00,0.0400,0.3000,1.0000,call
OPT0010,75.00,70.00,0.0400,0.3000,1.0000,put
OPT0011,200.00,210.00,0.0250,0.1800,0.1250,call
OPT0012,200.00,190.00,0.0250,0.1800,0.1250,put
OPT0013,50.00,55.00,0.0600,0.3500,0.3333,call
OPT0014,50.00,45.00,0.0600,0.3500,0.3333,put
OPT0015,120.00,125.00,0.0450,0.2200,0.1667,call
OPT0016,120.00,115.00,0.0450,0.2200,0.1667,put
OPT0017,180.00,185.00,0.0350,0.2800,0.4167,call
OPT0018,180.00,175.00,0.0350,0.2800,0.4167,put
OPT0019,90.00,95.00,0.0550,0.3200,0.6667,call
OPT0020,90.00,85.00,0.0550,0.3200,0.6667,put
OPT0021,110.00,115.00,0.0420,0.2400,0.2917,call
OPT0022,110.00,105.00,0.0420,0.2400,0.2917,put
OPT0023,130.00,135.00,0.0380,0.2600,0.5833,call
OPT0024,130.00,125.00,0.0380,0.2600,0.5833,put
OPT0025,95.00,100.00,0.0520,0.2900,0.8333,call
OPT0026,95.00,90.00,0.0520,0.2900,0.8333,put
OPT0027,140.00,145.00,0.0330,0.2700,0.2083,call
OPT0028,140.00,135.00,0.0330,0.2700,0.2083,put
OPT0029,160.00,165.00,0.0280,0.2300,0.9167,call
OPT0030,160.00,155.00,0.0280,0.2300,0.9167,put
OPT0031,85.00,90.00,0.0580,0.3300,0.3750,call
OPT0032,85.00,80.00,0.0580,0.3300,0.3750,put
OPT0033,125.00,130.00,0.0400,0.2100,0.7083,call
OPT0034,125.00,120.00,0.0400,0.2100,0.7083,put
OPT0035,170.00,175.00,0.0320,0.1900,0.5417,call
OPT0036,170.00,165.00,0.0320,0.1900,0.5417,put
OPT0037,105.00,110.00,0.0480,0.3100,0.1667,call
OPT0038,105.00,100.00,0.0480,0.3100,0.1667,put
OPT0039,145.00,150.00,0.0360,0.1700,0.7917,call
OPT0040,145.00,140.00,0.0360,0.1700,0.7917,put
OPT0041,115.00,120.00,0.0440,0.3400,0.4583,call
OPT0042,115.00,110.00,0.0440,0.3400,0.4583,put
OPT0043,135.00,140.00,0.0340,0.1600,0.1250,call
OPT0044,135.00,130.00,0.0340,0.1600,0.1250,put
OPT0045,155.00,160.00,0.0300,0.3700,0.6667,call
OPT0046,155.00,150.00,0.0300,0.3700,0.6667,put
OPT0047,165.00,170.00,0.0260,0.1500,0.3333,call
OPT0048,165.00,160.00,0.0260,0.1500,0.3333,put
OPT0049,175.00,180.00,0.0220,0.3800,0.8750,call
OPT0050,175.00,170.00,0.0220,0.3800,0.8750,put
