ID,TheoreticalPrice,MarketPrice,PriceDifference,ImpliedVol,Delta,Gamma,Vega,Theta,Rho,Vanna,Charm,Vomma,Speed,Zomma,IntrinsicValue,ExtrinsicValue,TimeValue,DeltaExposure,GammaExposure,VegaExposure,DollarDelta,DollarGamma,Status
OPT0001,3.339501,0.000000,0.000000,0.000000,0.371015,0.037988,0.189941,-0.025440,0.084405,0.784271,-0.503650,12.269990,0.000809,-0.165401,0.000000,3.339501,3.339501,37.101549,189.941446,0.189941,37.101549,189.941446,"SUCCESS"
OPT0002,4.397512,0.000000,0.000000,0.000000,-0.177870,0.031488,0.157440,-0.014215,-0.055461,-0.925641,0.212816,31.838945,-0.002481,-0.093762,0.000000,4.397512,4.397512,-17.787047,157.439884,0.157440,-17.787047,157.439884,"SUCCESS"
OPT0003,6.140747,0.000000,0.000000,0.000000,0.372576,0.021513,0.268915,-0.022681,0.155584,0.739497,-0.292440,16.175800,0.000161,-0.073112,0.000000,6.140747,6.140747,37.257577,107.566033,0.268915,37.257577,107.566033,"SUCCESS"
OPT0004,9.247050,0.000000,0.000000,0.000000,-0.084362,0.016047,0.200588,-0.011317,-0.088416,-0.736467,0.103882,43.005433,-0.000910,-0.029784,0.000000,9.247050,9.247050,-8.436200,80.235342,0.200588,-8.436200,80.235342,"SUCCESS"
OPT0005,1.963638,0.000000,0.000000,0.000000,0.547234,0.091512,0.114345,-0.035433,0.043949,-0.196927,-0.280257,0.669832,-0.003406,-0.604722,0.000000,1.963638,1.963638,54.723446,457.562397,0.114345,54.723446,457.562397,"SUCCESS"
OPT0006,1.548004,0.000000,0.000000,0.000000,-0.452766,0.091512,0.114345,-0.021792,-0.039005,-0.196927,-0.280257,0.669832,-0.003406,-0.604722,0.000000,1.548004,1.548004,-45.276554,457.562397,0.114345,-45.276554,457.562397,"SUCCESS"
OPT0007,11.086330,0.000000,0.000000,0.000000,0.465641,0.012239,0.516332,-0.028406,0.440698,0.480816,-0.135211,5.366201,-0.000049,-0.047684,0.000000,11.086330,11.086330,69.846096,137.688561,0.516332,69.846096,137.688561,"SUCCESS"
OPT0008,10.625517,0.000000,0.000000,0.000000,-0.267165,0.010670,0.450134,-0.016387,-0.380252,-0.435684,0.024600,30.043988,-0.000246,-0.035558,0.000000,10.625517,10.625517,-40.074813,120.035686,0.450134,-40.074813,120.035686,"SUCCESS"
OPT0009,8.348758,0.000000,0.000000,0.000000,0.527252,0.017690,0.298512,-0.015686,0.311951,0.307527,-0.099198,-1.573113,-0.000289,-0.059897,0.000000,8.348758,8.348758,39.543905,49.751930,0.298512,39.543905,49.751930,"SUCCESS"
OPT0010,7.098062,0.000000,0.000000,0.000000,-0.276249,0.015542,0.262274,-0.007730,-0.278167,-0.248647,-0.009329,9.572478,-0.000562,-0.046135,0.000000,7.098062,7.098062,-20.718666,43.712401,0.262274,-20.718666,43.712401,"SUCCESS"
OPT0011,6.902728,0.000000,0.000000,0.000000,0.179230,0.024777,0.222989,-0.045969,0.036179,1.312889,-1.069163,63.660764,0.001211,-0.066914,0.000000,6.902728,6.902728,35.846021,495.531958,0.222989,35.846021,495.531958,"SUCCESS"
OPT0012,8.934603,0.000000,0.000000,0.000000,-0.037001,0.021151,0.190362,-0.036432,-0.020419,-1.231322,0.780795,77.222061,-0.001580,-0.031705,0.000000,8.934603,8.934603,-7.400260,423.027249,0.190362,-7.400260,423.027249,"SUCCESS"
OPT0013,3.476509,0.000000,0.000000,0.000000,0.388906,0.038056,0.110986,-0.018590,0.053224,0.520429,-0.387421,4.081469,0.000262,-0.094737,0.000000,3.476509,3.476509,19.445318,47.570314,0.110986,19.445318,47.570314,"SUCCESS"
OPT0014,4.214714,0.000000,0.000000,0.000000,-0.156655,0.030440,0.088773,-0.010790,-0.040154,-0.456350,0.148289,9.503366,-0.002782,-0.054384,0.000000,4.214714,4.214714,-7.832759,38.049495,0.088773,-7.832759,38.049495,"SUCCESS"
OPT0015,3.605414,0.000000,0.000000,0.000000,0.365219,0.035096,0.185343,-0.038466,0.067048,0.715085,-0.661379,11.423039,0.000769,-0.137896,0.000000,3.605414,3.605414,43.826293,252.689509,0.185343,43.826293,252.689509,"SUCCESS"
OPT0016,4.166726,0.000000,0.000000,0.000000,-0.228474,0.030873,0.163043,-0.025582,-0.052650,-0.775090,0.344742,22.870181,-0.001982,-0.097026,0.000000,4.166726,4.166726,-27.416907,222.286648,0.163043,-27.416907,222.286648,"SUCCESS"
OPT0017,12.070366,0.000000,0.000000,0.000000,0.507771,0.012260,0.463460,-0.050267,0.330561,0.229734,-0.154422,-0.519880,-0.000075,-0.043923,0.000000,12.070366,12.070366,91.398720,198.609688,0.463460,91.398720,198.609688,"SUCCESS"
OPT0018,10.434361,0.000000,0.000000,0.000000,-0.364830,0.011624,0.439426,-0.033150,-0.317124,-0.197433,-0.006900,7.499762,-0.000181,-0.039531,0.000000,10.434361,10.434361,-65.669332,188.310489,0.439426,-65.669332,188.310489,"SUCCESS"
OPT0019,8.813213,0.000000,0.000000,0.000000,0.525589,0.016930,0.292568,-0.025036,0.256611,0.245384,-0.142694,-1.155043,-0.000234,-0.053575,0.000000,8.813213,8.813213,47.302986,68.567204,0.292568,47.302986,68.567204,"SUCCESS"
OPT0020,7.430178,0.000000,0.000000,0.000000,-0.288226,0.015048,0.260038,-0.012069,-0.222481,-0.252626,-0.013859,9.091839,-0.000481,-0.041763,0.000000,7.430178,7.430178,-25.940353,60.943251,0.260038,-25.940353,60.943251,"SUCCESS"
OPT0021,4.720601,0.000000,0.000000,0.000000,0.425923,0.027512,0.233051,-0.031114,0.122896,0.511964,-0.337717,5.584532,0.000104,-0.108040,0.000000,4.720601,4.720601,46.851550,166.445869,0.233051,46.851550,166.445869,"SUCCESS"
OPT0022,4.837382,0.000000,0.000000,0.000000,-0.273722,0.024464,0.207232,-0.019335,-0.101940,-0.564782,0.119318,17.388129,-0.001112,-0.081406,0.000000,4.837382,4.837382,-30.109400,148.005810,0.207232,-30.109400,148.005810,"SUCCESS"
OPT0023,9.522199,0.000000,0.000000,0.000000,0.508320,0.015451,0.396009,-0.030069,0.329911,0.272634,-0.137089,-0.564436,-0.000131,-0.059647,0.000000,9.522199,9.522199,66.081587,130.559858,0.396009,66.081587,130.559858,"SUCCESS"
OPT0024,8.142816,0.000000,0.000000,0.000000,-0.327693,0.014218,0.364399,-0.016967,-0.295984,-0.296227,-0.004215,12.012250,-0.000334,-0.049996,0.000000,8.142816,8.142816,-42.600130,120.138406,0.364399,-42.600130,120.138406,"SUCCESS"
